title,price,location_date,link
Sprzedam laptop Lenovo N-500,100,"Gdańsk, Aniołki - 22 czerwca 2025",https://www.olx.pl/d/oferta/sprzedam-laptop-lenovo-n-500-CID99-ID16kPHr.html
Laptop Lenovo G50-30,100,"Kraków, Czyżyny - 05 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-g50-30-CID99-ID166Y93.html
Laptop Lenovo G50-30 4GB RAM. Intel Celeron 2.16GHz Windows 8.1,100,Sosnowiec - 07 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-g50-30-4gb-ram-intel-celeron-2-16ghz-windows-8-1-CID99-ID168WWh.html
Laptop Lenovo G50-30 4GB RAM. Intel Celeron 2.16GHz Windows 8.1,100,Sosnowiec - 30 maja 2025,https://www.olx.pl/d/oferta/laptop-lenovo-g50-30-4gb-ram-intel-celeron-2-16ghz-windows-8-1-CID99-ID162TK0.html
Lenovo Ideapad 31p-15ikb TYLKO DZIS !!,100,"Gdańsk, Orunia - Św. Wojciech - Lipce - 26 czerwca 2025",https://www.olx.pl/d/oferta/lenovo-ideapad-31p-15ikb-tylko-dzis-CID99-ID16o5K3.html
Sprzedam laptop Lenovo N-500,100,"Gdańsk, Aniołki - 22 czerwca 2025",https://www.olx.pl/d/oferta/sprzedam-laptop-lenovo-n-500-CID99-ID16kPHr.html
"Sprzedam laptop Lenovo G550. Włącza się, BIOS działa, ale system Windo",100,Niemcz - 25 czerwca 2025,https://www.olx.pl/d/oferta/sprzedam-laptop-lenovo-g550-wlacza-sie-bios-dziala-ale-system-windo-CID99-ID16mTIj.html
Laptop Lenovo IdeaPad,100,"Szczecin, Pogodno - 06 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-ideapad-CID99-ID167Ize.html
laptop lenovo uszkodzony,100,Krosno Odrzańskie - 02 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-uszkodzony-CID99-ID9aUKn.html
Sprzedam laptop Lenovo N-500,100,"Gdańsk, Aniołki - 22 czerwca 2025",https://www.olx.pl/d/oferta/sprzedam-laptop-lenovo-n-500-CID99-ID16kPHr.html
Sprzedam laptop Lenovo N-500,100,"Gdańsk, Aniołki - 22 czerwca 2025",https://www.olx.pl/d/oferta/sprzedam-laptop-lenovo-n-500-CID99-ID16kPHr.html
"Klapa, obudowa ekranu do Lenovo ideapad Gaming 3-15ACH6 FVAT 23%",100,"Poznań, Chartowo - 04 czerwca 2025",https://www.olx.pl/d/oferta/klapa-obudowa-ekranu-do-lenovo-ideapad-gaming-3-15ach6-fvat-23-CID99-ID166uxS.html
Lenovo B560 – laptop na części,119,Rzeszów - 24 czerwca 2025,https://www.olx.pl/d/oferta/lenovo-b560-laptop-na-czesci-CID99-ID15Yz5i.html
Laptop Lenovo G500 bez ładowarki,120,Tomaszewo - 23 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-g500-bez-ladowarki-CID99-ID16lHPY.html
Laptop Lenovo G500 bez ładowarki,120,Tomaszewo - 23 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-g500-bez-ladowarki-CID99-ID16lHPY.html
"Thinkpad x1 carbon gen1 - uszkodzony, bez dysku twardego.",120,Tychy - 26 czerwca 2025,https://www.olx.pl/d/oferta/thinkpad-x1-carbon-gen1-uszkodzony-bez-dysku-twardego-CID99-ID16om5D.html
"Zadbany kultowy laptop Lenovo ThinkPad L512 - Intel Core i5 i 15,6""",120,"Mikołów, Borowa Wieś - 25 czerwca 2025",https://www.olx.pl/d/oferta/zadbany-kultowy-laptop-lenovo-thinkpad-l512-intel-core-i5-i-15-6-CID99-ID16nbXQ.html
Laptop lenovo sprawny bez ladowarki,120,Barlinek - 04 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-sprawny-bez-ladowarki-CID99-ID1661Oo.html
Laptop lenovo na części,120,Nagradowice - 09 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-na-czesci-CID99-ID16ac5A.html
Laptop LENOVO R500,120,Radom - 26 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-r500-CID99-ID156NUD.html
Matryca laptopa Lenovo IdeaPad 5 15ARE05 bdb,120,"Gliwice, Szobiszowice - 06 czerwca 2025",https://www.olx.pl/d/oferta/matryca-laptopa-lenovo-ideapad-5-15are05-bdb-CID99-ID1682kN.html
